,Date,Home Team,Away Team,Result,B365H,B365D,B365A,B365>2.5,B365<2.5,HTeam,HM,HG,HGA,HPTS,HxG,HxGA,HPPDA,HOPPDA,HDC,HODC,HPTS/M,ATeam,AM,AG,AGA,APTS,AxG,AxGA,APPDA,AOPPDA,ADC,AODC,APTS/M
0,13/08/2021,Brentford,Arsenal,"['2 ', ' 0']",4.0,3.4,1.95,2.1,1.72,Brentford,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,14/08/2021,Manchester United,Leeds,"['5 ', ' 1']",1.53,4.5,5.75,1.61,2.3,Manchester United,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leeds,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,14/08/2021,Burnley,Brighton,"['1 ', ' 2']",3.1,3.1,2.45,2.5,1.53,Burnley,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brighton,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,14/08/2021,Chelsea,Crystal Palace,"['3 ', ' 0']",1.25,5.75,13.0,1.8,2.0,Chelsea,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal Palace,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,14/08/2021,Everton,Southampton,"['3 ', ' 1']",1.9,3.5,4.0,2.0,1.8,Everton,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,14/08/2021,Leicester,Wolverhampton Wanderers,"['1 ', ' 0']",1.66,3.8,5.25,2.09,1.84,Leicester,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolverhampton Wanderers,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,14/08/2021,Watford,Aston Villa,"['3 ', ' 2']",3.1,3.2,2.37,2.0,1.8,Watford,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aston Villa,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,14/08/2021,Norwich,Liverpool,"['0 ', ' 3']",9.0,5.75,1.3,1.53,2.5,Norwich,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Liverpool,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,15/08/2021,Newcastle United,West Ham,"['2 ', ' 4']",3.2,3.5,2.2,1.99,1.94,Newcastle United,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,West Ham,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,15/08/2021,Tottenham,Manchester City,"['1 ', ' 0']",5.5,4.2,1.6,1.89,2.04,Tottenham,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manchester City,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,21/08/2021,Brighton,Watford,"['2 ', ' 0']",1.7,3.5,5.75,2.2,1.66,Brighton,1,2,1,3,1.69,1.8,7.93,17.89,7.0,3.0,3.0,Watford,1,3,2,3,1.35,1.14,14.43,6.5,4.0,6.0,3.0
11,21/08/2021,Manchester City,Norwich,"['5 ', ' 0']",1.08,11.0,26.0,1.33,3.4,Manchester City,1,0,1,0,2.11,1.06,6.14,17.29,8.0,5.0,0.0,Norwich,1,0,3,0,1.33,1.79,25.67,11.58,3.0,13.0,0.0
12,21/08/2021,Leeds,Everton,"['2 ', ' 2']",2.37,3.4,3.0,1.72,2.1,Leeds,1,1,5,0,0.57,1.64,7.24,12.59,3.0,8.0,0.0,Everton,1,3,1,3,2.39,0.58,6.87,5.59,4.0,6.0,3.0
13,21/08/2021,Aston Villa,Newcastle United,"['2 ', ' 0']",1.8,3.75,4.33,1.72,2.1,Aston Villa,1,2,3,0,1.14,1.35,6.5,14.43,6.0,4.0,0.0,Newcastle United,1,2,4,0,1.68,3.01,24.5,11.62,5.0,10.0,0.0
14,21/08/2021,Liverpool,Burnley,"['2 ', ' 0']",1.18,7.5,13.0,1.53,2.5,Liverpool,1,3,0,3,1.79,1.33,11.58,25.67,13.0,3.0,3.0,Burnley,1,1,2,0,1.8,1.69,17.89,7.93,3.0,7.0,0.0
15,21/08/2021,Crystal Palace,Brentford,"['0 ', ' 0']",2.55,3.2,2.87,2.3,1.61,Crystal Palace,1,0,3,0,0.32,1.19,71.0,6.6,3.0,14.0,0.0,Brentford,1,2,0,3,1.89,1.02,16.11,5.77,7.0,10.0,3.0
16,22/08/2021,Southampton,Manchester United,"['1 ', ' 1']",5.5,4.2,1.57,1.72,2.1,Southampton,1,1,3,0,0.58,2.39,5.59,6.87,6.0,4.0,0.0,Manchester United,1,5,1,3,1.64,0.57,12.59,7.24,8.0,3.0,3.0
17,22/08/2021,Wolverhampton Wanderers,Tottenham,"['0 ', ' 1']",3.2,3.2,2.35,2.2,1.66,Wolverhampton Wanderers,1,0,1,0,1.33,0.67,20.26,11.5,7.0,6.0,0.0,Tottenham,1,1,0,3,1.06,2.11,17.29,6.14,5.0,8.0,3.0
18,22/08/2021,Arsenal,Chelsea,"['0 ', ' 2']",4.75,3.75,1.72,2.1,1.72,Arsenal,1,0,2,0,1.02,1.89,5.77,16.11,10.0,7.0,0.0,Chelsea,1,3,0,3,1.19,0.32,6.6,71.0,14.0,3.0,3.0
19,23/08/2021,West Ham,Leicester,"['4 ', ' 1']",2.5,3.5,2.75,1.8,2.0,West Ham,1,4,2,3,3.01,1.68,11.62,24.5,10.0,5.0,3.0,Leicester,1,1,0,3,0.67,1.33,11.5,20.26,6.0,7.0,3.0
20,28/08/2021,West Ham,Crystal Palace,"['2 ', ' 2']",1.55,4.0,6.5,1.9,1.9,West Ham,2,8,3,6,5.3,2.31,16.31,16.53,7.5,5.0,3.0,Crystal Palace,2,0,3,1,0.93,1.9,21.56,7.24,4.0,10.0,0.5
21,28/08/2021,Liverpool,Chelsea,"['1 ', ' 1']",2.45,3.3,2.9,2.0,1.8,Liverpool,2,5,0,6,4.43,2.02,10.23,17.29,10.5,3.0,3.0,Chelsea,2,5,0,6,4.83,0.95,7.6,26.11,16.5,3.0,3.0
22,28/08/2021,Norwich,Leicester,"['1 ', ' 2']",4.5,3.5,1.85,1.8,2.0,Norwich,2,0,8,0,1.36,4.23,26.62,9.51,1.5,14.5,0.0,Leicester,2,2,4,3,1.29,3.61,12.2,21.58,5.5,6.0,1.5
23,28/08/2021,Aston Villa,Brentford,"['1 ', ' 1']",1.95,3.6,3.8,1.9,1.9,Aston Villa,2,4,3,3,2.32,1.98,9.14,11.92,5.5,4.0,1.5,Brentford,2,2,0,4,2.6,1.63,11.21,7.4,6.5,7.5,2.0
24,28/08/2021,Brighton,Everton,"['0 ', ' 2']",2.3,3.2,3.3,2.2,1.66,Brighton,2,4,1,6,3.46,2.2,10.69,21.52,7.0,4.5,3.0,Everton,2,5,3,4,4.25,1.55,11.82,5.52,5.0,5.0,2.0
25,28/08/2021,Manchester City,Arsenal,"['5 ', ' 0']",1.25,6.0,12.0,1.57,2.37,Manchester City,2,5,1,3,4.55,1.09,7.04,21.55,12.0,2.5,1.5,Arsenal,2,0,4,0,1.65,5.53,11.18,13.52,6.5,13.0,0.0
26,28/08/2021,Newcastle United,Southampton,"['2 ', ' 2']",2.5,3.4,2.8,1.85,2.05,Newcastle United,2,2,6,0,2.31,4.19,14.63,12.74,4.5,7.5,0.0,Southampton,2,2,4,1,1.17,4.65,7.34,7.74,4.5,7.5,0.5
27,29/08/2021,Burnley,Leeds,"['1 ', ' 1']",3.1,3.5,2.25,1.72,2.1,Burnley,2,1,4,0,2.49,4.32,15.05,7.5,3.0,7.5,0.0,Leeds,2,3,7,1,1.53,3.5,6.54,14.8,3.5,7.0,0.5
28,29/08/2021,Tottenham,Watford,"['1 ', ' 0']",1.36,4.75,9.0,1.8,2.0,Tottenham,2,2,0,6,2.79,3.62,15.53,6.82,5.5,8.5,3.0,Watford,2,3,4,3,1.76,2.92,19.19,9.14,5.0,6.5,1.5
29,29/08/2021,Wolverhampton Wanderers,Manchester United,"['0 ', ' 1']",5.0,3.5,1.75,2.0,1.8,Wolverhampton Wanderers,2,0,2,0,2.84,2.39,12.7,12.49,8.0,6.0,0.0,Manchester United,2,6,2,4,3.9,1.16,11.16,8.03,9.5,3.0,2.0
30,11/09/2021,Chelsea,Aston Villa,"['3 ', ' 0']",1.28,5.5,11.0,1.8,2.0,Chelsea,3,6,1,7,5.4,3.04,10.91,16.53,12.333333333333334,4.0,2.3333333333333335,Aston Villa,3,5,4,4,2.75,3.12,10.45,10.52,4.333333333333333,5.333333333333333,1.3333333333333333
31,11/09/2021,Watford,Wolverhampton Wanderers,"['0 ', ' 2']",3.4,3.2,2.25,2.3,1.61,Watford,3,3,5,3,2.35,3.84,19.21,9.86,4.666666666666667,9.666666666666666,1.0,Wolverhampton Wanderers,3,0,3,0,4.63,3.34,15.48,11.15,7.333333333333333,6.666666666666667,0.0
32,11/09/2021,Southampton,West Ham,"['0 ', ' 0']",2.9,3.5,2.4,1.72,2.1,Southampton,3,4,6,2,4.63,5.84,7.43,8.52,6.333333333333333,7.0,0.6666666666666666,West Ham,3,10,5,7,6.74,3.98,14.08,13.69,8.666666666666666,5.333333333333333,2.3333333333333335
33,11/09/2021,Manchester United,Newcastle United,"['4 ', ' 1']",1.18,7.5,15.0,1.44,2.75,Manchester United,3,7,2,7,4.85,2.95,10.33,11.01,9.0,4.0,2.3333333333333335,Newcastle United,3,4,8,1,3.5,7.65,12.33,11.1,5.0,8.333333333333334,0.3333333333333333
34,11/09/2021,Leicester,Manchester City,"['0 ', ' 1']",6.0,4.0,1.57,1.72,2.1,Leicester,3,4,5,6,2.57,5.05,11.06,17.0,4.666666666666667,4.666666666666667,2.0,Manchester City,3,10,1,6,9.02,1.2,6.55,27.5,12.666666666666666,1.6666666666666667,2.0
35,11/09/2021,Arsenal,Norwich,"['1 ', ' 0']",1.5,4.6,6.0,1.72,2.1,Arsenal,3,0,9,0,1.77,10.0,16.69,10.53,4.333333333333333,13.333333333333334,0.0,Norwich,3,1,10,0,2.8,5.5,18.63,9.32,1.6666666666666667,10.666666666666666,0.0
36,11/09/2021,Crystal Palace,Tottenham,"['3 ', ' 0']",4.2,3.5,1.9,2.1,1.72,Crystal Palace,3,2,5,2,2.6,3.35,16.09,8.33,4.666666666666667,10.333333333333334,0.6666666666666666,Tottenham,3,3,0,9,3.71,4.21,14.0,9.26,9.0,7.0,3.0
37,11/09/2021,Brentford,Brighton,"['0 ', ' 1']",2.8,3.2,2.62,2.5,1.53,Brentford,3,3,1,5,3.73,2.06,10.23,9.27,7.0,5.666666666666667,1.6666666666666667,Brighton,3,4,3,6,4.17,3.75,9.38,18.25,7.666666666666667,4.0,2.0
38,12/09/2021,Leeds,Liverpool,"['0 ', ' 3']",4.33,4.0,1.75,1.57,2.37,Leeds,3,4,8,2,3.06,5.21,6.88,14.66,5.333333333333333,5.333333333333333,0.6666666666666666,Liverpool,3,6,1,7,6.51,2.6,9.05,19.93,9.0,3.3333333333333335,2.3333333333333335
39,13/09/2021,Everton,Burnley,"['3 ', ' 1']",1.7,3.75,5.0,2.0,1.8,Everton,3,7,3,7,5.79,2.25,12.74,5.96,4.333333333333333,6.333333333333333,2.3333333333333335,Burnley,3,2,5,1,4.2,5.85,14.81,7.72,2.6666666666666665,8.0,0.3333333333333333
40,17/09/2021,Newcastle United,Leeds,"['1 ', ' 1']",3.0,3.6,2.3,1.61,2.3,Newcastle United,4,5,12,1,4.12,10.43,15.24,10.3,4.0,9.0,0.25,Leeds,4,4,11,2,3.71,9.61,10.12,15.05,6.0,7.75,0.5
41,18/09/2021,Norwich,Watford,"['1 ', ' 3']",2.15,3.3,3.5,2.1,1.72,Norwich,4,1,11,0,3.38,8.19,18.77,9.87,2.5,11.25,0.0,Watford,4,3,7,3,2.54,6.4,17.64,9.05,4.25,9.0,0.75
42,18/09/2021,Aston Villa,Everton,"['3 ', ' 0']",2.4,3.3,3.0,2.0,1.8,Aston Villa,4,5,7,4,3.93,4.34,10.26,10.37,4.75,4.75,1.0,Everton,4,10,4,10,7.6,4.07,12.59,7.07,5.0,5.75,2.5
43,18/09/2021,Manchester City,Southampton,"['0 ', ' 0']",1.12,9.5,17.0,1.36,3.2,Manchester City,4,11,1,9,11.77,2.0,7.31,32.52,13.0,2.75,2.25,Southampton,4,4,6,3,5.32,6.57,9.7,8.25,5.75,5.5,0.75
44,18/09/2021,Liverpool,Crystal Palace,"['3 ', ' 0']",1.2,7.0,13.0,1.5,2.62,Liverpool,4,9,1,10,10.91,3.25,10.38,22.66,10.5,4.5,2.5,Crystal Palace,4,5,5,5,5.5,3.42,12.18,9.11,5.25,8.0,1.25
45,18/09/2021,Burnley,Arsenal,"['0 ', ' 1']",3.8,3.6,1.95,2.0,1.8,Burnley,4,3,8,1,6.02,7.65,13.87,8.86,3.0,7.75,0.25,Arsenal,4,1,9,3,4.46,10.58,15.61,12.1,6.5,11.25,0.75
46,18/09/2021,Wolverhampton Wanderers,Brentford,"['0 ', ' 2']",1.83,3.25,5.0,2.5,1.53,Wolverhampton Wanderers,4,2,3,3,7.19,3.52,12.67,11.86,7.25,5.75,0.75,Brentford,4,3,2,5,4.46,2.35,10.2,8.49,6.0,5.75,1.25
47,19/09/2021,Brighton,Leicester,"['2 ', ' 1']",2.7,3.2,2.75,2.1,1.72,Brighton,4,5,3,9,4.45,4.48,8.5,15.93,7.25,3.75,2.25,Leicester,4,4,6,6,3.37,7.8,14.87,14.67,5.0,7.0,1.5
48,19/09/2021,West Ham,Manchester United,"['1 ', ' 2']",4.33,4.0,1.75,1.66,2.2,West Ham,4,10,5,8,7.47,4.67,12.0,15.63,6.75,5.0,2.0,Manchester United,4,11,3,10,7.62,3.57,9.85,13.11,9.5,3.25,2.5
49,19/09/2021,Tottenham,Chelsea,"['0 ', ' 3']",5.0,3.8,1.7,2.0,1.8,Tottenham,4,3,3,9,3.79,7.11,13.66,8.25,7.0,7.0,2.25,Chelsea,4,9,1,10,6.62,4.21,10.69,14.18,10.0,4.5,2.5
50,25/09/2021,Watford,Newcastle United,"['1 ', ' 1']",2.2,3.4,3.3,2.0,1.8,Watford,5,6,8,6,4.96,7.18,16.01,8.84,4.8,9.6,1.2,Newcastle United,5,6,13,2,5.3,11.86,15.67,9.09,5.2,9.8,0.4
51,25/09/2021,Leicester,Burnley,"['2 ', ' 2']",1.57,4.0,6.0,1.9,1.9,Leicester,5,5,8,6,4.62,9.28,13.48,14.49,6.4,6.8,1.2,Burnley,5,3,9,1,6.79,8.75,13.62,9.3,4.2,7.6,0.2
52,25/09/2021,Leeds,West Ham,"['1 ', ' 2']",3.0,3.6,2.25,1.57,2.37,Leeds,5,5,12,3,5.14,10.79,8.96,15.41,7.4,8.2,0.6,West Ham,5,11,7,8,9.14,6.57,12.86,14.95,6.8,5.4,1.6
53,25/09/2021,Brentford,Liverpool,"['3 ', ' 3']",7.0,4.5,1.45,1.72,2.1,Brentford,5,5,2,8,6.79,3.37,10.31,9.05,5.4,5.4,1.6,Liverpool,5,12,1,13,13.68,3.89,9.05,22.23,10.0,5.2,2.6
54,25/09/2021,Manchester United,Aston Villa,"['0 ', ' 1']",1.36,5.25,8.0,1.57,2.37,Manchester United,5,13,4,13,9.52,5.24,10.31,13.81,9.0,4.0,2.6,Aston Villa,5,8,7,7,4.7,5.09,9.93,10.63,4.8,4.2,1.4
55,25/09/2021,Chelsea,Manchester City,"['0 ', ' 1']",2.62,3.2,2.75,2.1,1.72,Chelsea,5,12,1,13,9.21,4.92,10.32,14.31,11.0,3.6,2.6,Manchester City,5,11,1,10,12.99,2.49,7.86,26.84,11.6,3.4,2.0
56,25/09/2021,Everton,Norwich,"['2 ', ' 0']",1.61,3.8,5.75,1.9,1.9,Everton,5,10,7,10,8.35,4.85,12.48,7.26,4.4,5.6,2.0,Norwich,5,2,14,0,4.16,10.61,15.45,9.95,4.4,10.4,0.0
57,26/09/2021,Southampton,Wolverhampton Wanderers,"['0 ', ' 1']",2.62,3.2,2.8,2.1,1.72,Southampton,5,4,6,4,5.81,7.79,11.07,8.71,5.8,5.6,0.8,Wolverhampton Wanderers,5,2,5,3,8.22,5.85,12.66,11.63,6.6,5.2,0.6
58,26/09/2021,Arsenal,Tottenham,"['3 ', ' 1']",2.15,3.3,3.5,2.0,1.8,Arsenal,5,2,9,6,5.56,11.36,14.68,12.26,6.6,10.8,1.2,Tottenham,5,3,6,9,4.49,9.69,13.92,8.53,5.6,8.6,1.8
59,27/09/2021,Crystal Palace,Brighton,"['1 ', ' 1']",3.1,3.2,2.45,2.3,1.61,Crystal Palace,5,5,8,5,6.14,6.19,13.35,8.32,5.8,8.0,1.0,Brighton,5,7,4,12,5.93,5.73,9.57,14.51,7.0,5.4,2.4
60,02/10/2021,Manchester United,Everton,"['1 ', ' 1']",1.45,4.33,7.5,1.8,2.0,Manchester United,6,13,5,13,11.44,6.81,9.72,13.05,8.333333333333334,4.333333333333333,2.1666666666666665,Everton,6,12,7,13,10.62,5.65,12.08,8.1,4.666666666666667,5.333333333333333,2.1666666666666665
61,02/10/2021,Burnley,Norwich,"['0 ', ' 0']",1.85,3.6,4.33,1.9,1.9,Burnley,6,5,11,2,7.22,10.91,13.7,9.27,5.0,9.166666666666666,0.3333333333333333,Norwich,6,2,16,0,4.96,12.88,15.24,10.07,4.333333333333333,9.666666666666666,0.0
62,02/10/2021,Chelsea,Southampton,"['3 ', ' 1']",1.36,4.75,9.0,1.8,2.0,Chelsea,6,12,2,13,9.4,6.61,11.64,13.19,9.833333333333334,4.5,2.1666666666666665,Southampton,6,4,7,4,6.72,8.7,10.62,10.36,6.0,5.166666666666667,0.6666666666666666
63,02/10/2021,Leeds,Watford,"['1 ', ' 0']",1.7,4.0,4.75,1.66,2.2,Leeds,6,6,14,3,6.33,12.78,9.52,15.92,7.5,7.666666666666667,0.5,Watford,6,7,9,7,5.87,9.7,13.4,8.72,4.5,8.666666666666666,1.1666666666666667
64,02/10/2021,Wolverhampton Wanderers,Newcastle United,"['2 ', ' 1']",1.61,4.2,5.25,1.9,1.9,Wolverhampton Wanderers,6,3,5,6,9.13,6.76,14.05,11.08,6.0,5.5,1.0,Newcastle United,6,7,14,3,7.82,12.76,13.92,8.27,5.0,8.666666666666666,0.5
