,Date,Home Team,Away Team,Result,HTeam,HM,HG,HGA,HPTS,HxG,HxGA,HPPDA,HOPPDA,HDC,HODC,HPTS/M,ATeam,AM,AG,AGA,APTS,AxG,AxGA,APPDA,AOPPDA,ADC,AODC,APTS/M
0,12/09/2020,Fulham,Arsenal,"['0 ', ' 3']",Fulham,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arsenal,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,12/09/2020,Crystal Palace,Southampton,"['1 ', ' 0']",Crystal Palace,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Southampton,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,12/09/2020,Liverpool,Leeds,"['4 ', ' 3']",Liverpool,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leeds,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,12/09/2020,West Ham,Newcastle United,"['0 ', ' 2']",West Ham,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Newcastle United,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,13/09/2020,West Bromwich Albion,Leicester,"['0 ', ' 3']",West Bromwich Albion,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leicester,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,13/09/2020,Tottenham,Everton,"['0 ', ' 1']",Tottenham,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Everton,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,14/09/2020,Sheffield United,Wolverhampton Wanderers,"['0 ', ' 2']",Sheffield United,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Wolverhampton Wanderers,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,14/09/2020,Brighton,Chelsea,"['1 ', ' 3']",Brighton,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,19/09/2020,Everton,West Bromwich Albion,"['5 ', ' 2']",Everton,1,1,0,3,1.27,0.82,16.26,11.33,0.0,0.0,0.0,West Bromwich Albion,1,0,3,0,0.35,2.96,19.11,10.53,6.0,3.0,0.0
9,19/09/2020,Leeds,Fulham,"['4 ', ' 3']",Leeds,1,3,4,0,0.27,3.15,9.33,9.94,0.0,0.0,0.0,Fulham,1,0,3,0,0.13,2.16,32.69,21.93,0.0,11.0,0.0
10,19/09/2020,Manchester United,Crystal Palace,"['1 ', ' 3']",Manchester United,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Crystal Palace,1,1,0,3,1.4,1.26,17.33,3.61,1.0,14.0,3.0
11,19/09/2020,Arsenal,West Ham,"['2 ', ' 1']",Arsenal,1,3,0,3,2.16,0.13,21.93,32.69,0.0,0.0,0.0,West Ham,1,0,2,0,0.86,1.66,6.41,24.18,5.0,10.0,0.0
12,20/09/2020,Southampton,Tottenham,"['2 ', ' 5']",Southampton,1,0,1,0,1.26,1.4,3.61,17.33,14.0,1.0,0.0,Tottenham,1,0,1,0,0.82,1.27,11.33,16.26,0.0,0.0,0.0
13,20/09/2020,Newcastle United,Brighton,"['0 ', ' 3']",Newcastle United,1,2,0,3,1.66,0.86,24.18,6.41,10.0,5.0,3.0,Brighton,1,1,3,0,1.44,1.27,9.34,12.7,0.0,0.0,0.0
