,Date,HomeTeam,AwayTeam,Result,HTeam,HM,HG,HGA,HPTS,HxG,HxGA,HPPDA,HOPPDA,HDC,HODC,HPTS/M,ATeam,AM,AG,AGA,APTS,AxG,AxGA,APPDA,AOPPDA,ADC,AODC,APTS/M
0,10/08/2018,Manchester United,Leicester,"['2 ', ' 1']",Manchester United,0,0,0,0,0,0,0,0,0,0,0,Leicester,0,0,0,0,0,0,0,0,0,0,0
1,11/08/2018,Newcastle United,Tottenham,"['1 ', ' 2']",Newcastle United,0,0,0,0,0,0,0,0,0,0,0,Tottenham,0,0,0,0,0,0,0,0,0,0,0
2,11/08/2018,Bournemouth,Cardiff,"['2 ', ' 0']",Bournemouth,0,0,0,0,0,0,0,0,0,0,0,Cardiff,0,0,0,0,0,0,0,0,0,0,0
3,11/08/2018,Fulham,Crystal Palace,"['0 ', ' 2']",Fulham,0,0,0,0,0,0,0,0,0,0,0,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0
4,11/08/2018,Huddersfield,Chelsea,"['0 ', ' 3']",Huddersfield,0,0,0,0,0,0,0,0,0,0,0,Chelsea,0,0,0,0,0,0,0,0,0,0,0
5,11/08/2018,Watford,Brighton,"['2 ', ' 0']",Watford,0,0,0,0,0,0,0,0,0,0,0,Brighton,0,0,0,0,0,0,0,0,0,0,0
6,11/08/2018,Wolverhampton Wanderers,Everton,"['2 ', ' 2']",Wolverhampton Wanderers,0,0,0,0,0,0,0,0,0,0,0,Everton,0,0,0,0,0,0,0,0,0,0,0
7,12/08/2018,Liverpool,West Ham,"['4 ', ' 0']",Liverpool,0,0,0,0,0,0,0,0,0,0,0,West Ham,0,0,0,0,0,0,0,0,0,0,0
8,12/08/2018,Southampton,Burnley,"['0 ', ' 0']",Southampton,0,0,0,0,0,0,0,0,0,0,0,Burnley,0,0,0,0,0,0,0,0,0,0,0
9,12/08/2018,Arsenal,Manchester City,"['0 ', ' 2']",Arsenal,0,0,0,0,0,0,0,0,0,0,0,Manchester City,0,0,0,0,0,0,0,0,0,0,0
10,18/08/2018,Cardiff,Newcastle United,"['0 ', ' 0']",Cardiff,1,0,2,0,1.51,2.6,15.82,5.63,5,12,0,Newcastle United,1,1,2,0,0.97,2.58,17.45,5.66,8,3,0
11,18/08/2018,Everton,Southampton,"['2 ', ' 1']",Everton,1,2,2,1,0.72,0.89,15.6,25.33,2,4,1,Southampton,1,0,0,1,1.02,1.41,16.58,7.81,3,7,1
