,Date,Home Team,Away Team,Result,HTeam,HM,HG,HGA,HPTS,HxG,HxGA,HPPDA,HOPPDA,HDC,HODC,HPTS/M,ATeam,AM,AG,AGA,APTS,AxG,AxGA,APPDA,AOPPDA,ADC,AODC,APTS/M
0,09/08/2019,Liverpool,Norwich,"['4 ', ' 1']",Liverpool,0,0,0,0,0,0,0,0,0,0,0,Norwich,0,0,0,0,0,0,0,0,0,0,0
1,10/08/2019,West Ham,Manchester City,"['0 ', ' 5']",West Ham,0,0,0,0,0,0,0,0,0,0,0,Manchester City,0,0,0,0,0,0,0,0,0,0,0
2,10/08/2019,Bournemouth,Sheffield United,"['1 ', ' 1']",Bournemouth,0,0,0,0,0,0,0,0,0,0,0,Sheffield United,0,0,0,0,0,0,0,0,0,0,0
3,10/08/2019,Burnley,Southampton,"['3 ', ' 0']",Burnley,0,0,0,0,0,0,0,0,0,0,0,Southampton,0,0,0,0,0,0,0,0,0,0,0
4,10/08/2019,Crystal Palace,Everton,"['0 ', ' 0']",Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,Everton,0,0,0,0,0,0,0,0,0,0,0
5,10/08/2019,Watford,Brighton,"['0 ', ' 3']",Watford,0,0,0,0,0,0,0,0,0,0,0,Brighton,0,0,0,0,0,0,0,0,0,0,0
6,10/08/2019,Tottenham,Aston Villa,"['3 ', ' 1']",Tottenham,0,0,0,0,0,0,0,0,0,0,0,Aston Villa,0,0,0,0,0,0,0,0,0,0,0
7,11/08/2019,Leicester,Wolverhampton Wanderers,"['0 ', ' 0']",Leicester,0,0,0,0,0,0,0,0,0,0,0,Wolverhampton Wanderers,0,0,0,0,0,0,0,0,0,0,0
8,11/08/2019,Newcastle United,Arsenal,"['0 ', ' 1']",Newcastle United,0,0,0,0,0,0,0,0,0,0,0,Arsenal,0,0,0,0,0,0,0,0,0,0,0
9,11/08/2019,Manchester United,Chelsea,"['4 ', ' 0']",Manchester United,0,0,0,0,0,0,0,0,0,0,0,Chelsea,0,0,0,0,0,0,0,0,0,0,0
10,17/08/2019,Arsenal,Burnley,"['2 ', ' 1']",Arsenal,1,1,0,3,1.13,0.38,11.05,13.21,10,1,3,Burnley,1,3,0,3,0.91,1.09,9.28,5.5,0,9,3
11,17/08/2019,Aston Villa,Bournemouth,"['1 ', ' 2']",Aston Villa,1,1,3,0,0.64,2.57,13.42,5.25,2,15,0,Bournemouth,1,1,1,1,1.34,1.6,13.6,9.13,4,6,1
12,17/08/2019,Brighton,West Ham,"['1 ', ' 1']",Brighton,1,3,0,3,0.86,0.67,11.5,9.79,5,7,3,West Ham,1,0,5,0,1.2,3.18,16.4,6.94,1,9,0
13,17/08/2019,Everton,Watford,"['1 ', ' 0']",Everton,1,0,0,1,1.22,0.87,4.07,11.31,5,5,1,Watford,1,0,3,0,0.67,0.86,9.79,11.5,7,5,0
14,17/08/2019,Norwich,Newcastle United,"['3 ', ' 1']",Norwich,1,1,4,0,0.84,2.23,21.45,5.94,5,11,0,Newcastle United,1,0,1,0,0.38,1.13,13.21,11.05,1,10,0
15,17/08/2019,Southampton,Liverpool,"['1 ', ' 2']",Southampton,1,0,3,0,1.09,0.91,5.5,9.28,9,0,0,Liverpool,1,4,1,3,2.23,0.84,5.94,21.45,11,5,3
16,17/08/2019,Manchester City,Tottenham,"['2 ', ' 2']",Manchester City,1,5,0,3,3.18,1.2,6.94,16.4,9,1,3,Tottenham,1,3,1,3,2.57,0.64,5.25,13.42,15,2,3
17,18/08/2019,Sheffield United,Crystal Palace,"['1 ', ' 0']",Sheffield United,1,1,1,1,1.6,1.34,9.13,13.6,6,4,1,Crystal Palace,1,0,0,1,0.87,1.22,11.31,4.07,5,5,1
18,18/08/2019,Chelsea,Leicester,"['1 ', ' 1']",Chelsea,1,0,4,0,1.1,2.37,6.45,9.06,4,8,0,Leicester,1,0,0,1,0.54,0.81,6.43,18.67,7,3,1
19,19/08/2019,Wolverhampton Wanderers,Manchester United,"['1 ', ' 1']",Wolverhampton Wanderers,1,0,0,1,0.81,0.54,18.67,6.43,3,7,1,Manchester United,1,4,0,3,2.37,1.1,9.06,6.45,8,4,3
