,Date,Home Team,Away Team,Result,HTeam,HM,HG,HGA,HPTS,HxG,HxGA,HPPDA,HOPPDA,HDC,HODC,HPTS/M,ATeam,AM,AG,AGA,APTS,AxG,AxGA,APPDA,AOPPDA,ADC,AODC,APTS/M
26,27/08/2017,Chelsea,Everton,"['2 ', ' 0']",Chelsea,2,4,4,3,2.19,1.29,12.29,14.53,3.0,5.5,1.5,Everton,2,2,1,4,1.32,1.42,12.03,13.27,2.0,11.5,2.0
27,27/08/2017,West Bromwich Albion,Stoke,"['1 ', ' 1']",West Bromwich Albion,2,2,0,6,1.84,1.75,15.65,7.67,3.0,5.0,3.0,Stoke,2,1,1,3,0.97,2.13,18.57,5.67,6.5,9.0,1.5
28,27/08/2017,Liverpool,Arsenal,"['4 ', ' 0']",Liverpool,2,4,3,4,5.47,2.9,7.4,15.71,10.5,3.0,2.0,Arsenal,2,4,4,3,3.95,2.16,5.27,17.81,14.0,3.0,1.5
29,27/08/2017,Tottenham,Burnley,"['1 ', ' 1']",Tottenham,2,3,2,3,3.07,1.47,7.79,19.95,8.0,2.0,1.5,Burnley,2,3,3,3,1.94,2.01,13.32,12.03,3.5,2.0,1.5
30,09/09/2017,Manchester City,Liverpool,"['5 ', ' 0']",Manchester City,3,5,2,7,4.78,1.29,6.12,24.98,14.666666666666666,2.6666666666666665,2.3333333333333335,Liverpool,3,8,3,7,8.93,3.39,10.34,13.55,8.333333333333334,5.0,2.3333333333333335
31,09/09/2017,Arsenal,Bournemouth,"['3 ', ' 0']",Arsenal,3,4,8,3,4.43,5.62,7.34,17.64,12.333333333333334,3.3333333333333335,1.0,Bournemouth,3,1,5,0,1.56,5.13,12.82,9.21,6.0,8.333333333333334,0.0
32,09/09/2017,Brighton,West Bromwich Albion,"['3 ', ' 1']",Brighton,3,0,4,1,1.35,4.03,19.74,16.51,4.0,9.0,0.3333333333333333,West Bromwich Albion,3,3,1,7,2.71,2.73,14.37,8.21,2.6666666666666665,6.0,2.3333333333333335
33,09/09/2017,Everton,Tottenham,"['0 ', ' 3']",Everton,3,2,3,4,1.65,2.59,14.06,13.85,2.6666666666666665,11.333333333333334,1.3333333333333333,Tottenham,3,4,3,4,5.42,2.14,7.45,19.22,10.333333333333334,3.0,1.3333333333333333
34,09/09/2017,Leicester,Chelsea,"['1 ', ' 2']",Leicester,3,5,6,3,4.02,5.4,16.84,10.28,3.0,9.333333333333334,1.0,Chelsea,3,6,4,6,3.36,1.62,13.1,15.72,5.666666666666667,5.0,2.0
35,09/09/2017,Southampton,Watford,"['0 ', ' 2']",Southampton,3,3,2,5,5.16,3.45,7.58,15.21,10.666666666666666,2.3333333333333335,1.6666666666666667,Watford,3,5,3,5,4.64,4.33,13.34,10.13,4.666666666666667,8.333333333333334,1.6666666666666667
36,09/09/2017,Stoke,Manchester United,"['2 ', ' 2']",Stoke,3,2,2,4,1.95,3.0,15.17,7.78,7.0,6.666666666666667,1.3333333333333333,Manchester United,3,10,0,9,8.79,1.6,8.67,16.09,9.0,5.333333333333333,3.0
37,10/09/2017,Burnley,Crystal Palace,"['1 ', ' 0']",Burnley,3,4,4,4,2.61,4.36,15.04,10.17,4.0,6.333333333333333,1.3333333333333333,Crystal Palace,3,0,6,0,2.54,5.55,14.45,8.48,5.0,5.666666666666667,0.0
