Date,HTeam,ATeam,Result,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,ROI,Net Gain,CombinedLabel
02/09/2023,Sheffield United,Everton,"['2 ', ' 2']",2.9,3.25,2.5,2.2,1.67,-27.825857376481025,-13.912928688240513,Sheffield United-Everton | 02/09/2023
02/09/2023,Burnley,Tottenham,"['2 ', ' 5']",3.6,4.0,1.85,1.62,2.3,-9.845643570291799,-4.922821785145899,Burnley-Tottenham | 02/09/2023
17/09/2023,Bournemouth,Chelsea,"['0 ', ' 0']",4.33,3.75,1.8,1.67,2.2,-30.190099794845395,-15.095049897422697,Bournemouth-Chelsea | 17/09/2023
02/10/2023,Fulham,Chelsea,"['0 ', ' 2']",3.6,3.5,2.05,1.98,1.92,-24.30625684485007,-12.153128422425034,Fulham-Chelsea | 02/10/2023
