Date,HTeam,ATeam,Result,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,ROI,Net Gain,CombinedLabel
03/09/2023,Liverpool,Aston Villa,"['3 ', ' 0']",1.65,4.5,4.5,1.4,3.0,-3.8950587260904683,-1.9475293630452342,Liverpool-Aston Villa | 03/09/2023
29/10/2023,Aston Villa,Luton,"['3 ', ' 1']",1.25,6.5,9.5,1.48,2.6,-11.698163515848663,-5.849081757924331,Aston Villa-Luton | 29/10/2023
04/11/2023,Manchester City,Bournemouth,"['6 ', ' 1']",1.1,11.0,19.0,1.29,3.6,-16.079246794837587,-8.039623397418794,Manchester City-Bournemouth | 04/11/2023
