Date,HTeam,ATeam,Result,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,ROI,Net Gain,CombinedLabel
04/10/2020,Manchester United,Tottenham,"['1 ', ' 6']",1.85,3.8,4.0,1.72,2.1,129.6757823330933,64.83789116654665,Manchester United-Tottenham | 04/10/2020
18/10/2020,Crystal Palace,Brighton,"['1 ', ' 1']",2.62,3.3,2.7,2.2,1.66,101.98164316350949,50.990821581754744,Crystal Palace-Brighton | 18/10/2020
29/12/2020,West Bromwich Albion,Leeds,"['0 ', ' 5']",3.6,3.6,2.0,1.57,2.37,127.94891751726294,63.97445875863147,West Bromwich Albion-Leeds | 29/12/2020
02/01/2021,Tottenham,Leeds,"['3 ', ' 0']",1.75,4.1,4.2,1.44,2.75,92.83335955627828,46.41667977813914,Tottenham-Leeds | 02/01/2021
26/01/2021,Newcastle United,Leeds,"['1 ', ' 2']",3.9,3.8,1.85,1.66,2.2,97.52058328536118,48.7602916426806,Newcastle United-Leeds | 26/01/2021
28/01/2021,Tottenham,Liverpool,"['1 ', ' 3']",3.2,3.6,2.2,1.8,2.0,110.57759346238058,55.28879673119029,Tottenham-Liverpool | 28/01/2021
