Date,HTeam,ATeam,Result,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,ROI,Net Gain,CombinedLabel
14/09/2019,Brighton,Burnley,"['1 ', ' 1']",2.15,3.3,3.5,2.1,1.72,-3.1109562720371287,-1.5554781360185643,Brighton-Burnley | 14/09/2019
14/09/2019,Manchester United,Leicester,"['1 ', ' 0']",1.95,3.5,4.0,1.9,1.9,-8.939081693542533,-4.469540846771267,Manchester United-Leicester | 14/09/2019
21/09/2019,Newcastle United,Brighton,"['0 ', ' 0']",2.5,3.2,3.0,2.3,1.61,-14.94897315431517,-7.474486577157585,Newcastle United-Brighton | 21/09/2019
28/09/2019,Aston Villa,Burnley,"['2 ', ' 2']",2.3,3.4,3.1,1.9,1.9,-11.918446277118264,-5.959223138559132,Aston Villa-Burnley | 28/09/2019
05/10/2019,Watford,Sheffield United,"['0 ', ' 0']",2.05,3.4,3.6,2.0,1.8,-25.349727398279256,-12.674863699139628,Watford-Sheffield United | 05/10/2019
19/10/2019,Aston Villa,Brighton,"['2 ', ' 1']",2.35,3.4,3.0,1.8,2.0,-22.99774732324674,-11.49887366162337,Aston Villa-Brighton | 19/10/2019
19/10/2019,Wolverhampton Wanderers,Southampton,"['1 ', ' 1']",1.8,3.6,4.5,2.1,1.72,-29.459200479672944,-14.729600239836472,Wolverhampton Wanderers-Southampton | 19/10/2019
25/10/2019,Southampton,Leicester,"['0 ', ' 9']",3.1,3.4,2.3,2.0,1.8,-22.99717005491553,-11.498585027457764,Southampton-Leicester | 25/10/2019
26/10/2019,Brighton,Everton,"['3 ', ' 2']",2.9,3.25,2.5,2.0,1.8,-4.069197148747406,-2.034598574373703,Brighton-Everton | 26/10/2019
03/11/2019,Crystal Palace,Leicester,"['0 ', ' 2']",3.5,3.4,2.1,2.0,1.8,-9.709134803824512,-4.854567401912256,Crystal Palace-Leicester | 03/11/2019
10/11/2019,Liverpool,Manchester City,"['3 ', ' 1']",2.5,3.6,2.62,1.66,2.2,5.862864270714922,2.9314321353574613,Liverpool-Manchester City | 10/11/2019
23/11/2019,Brighton,Leicester,"['0 ', ' 2']",3.75,3.5,2.0,1.9,1.9,-5.516448032054073,-2.758224016027036,Brighton-Leicester | 23/11/2019
03/12/2019,Crystal Palace,Bournemouth,"['1 ', ' 0']",2.2,3.4,3.25,2.0,1.8,-7.096008525525946,-3.548004262762973,Crystal Palace-Bournemouth | 03/12/2019
07/12/2019,Manchester City,Manchester United,"['1 ', ' 2']",1.3,5.5,10.0,1.5,2.62,-1.0161910331459865,-0.5080955165729932,Manchester City-Manchester United | 07/12/2019
08/12/2019,Brighton,Wolverhampton Wanderers,"['2 ', ' 2']",2.62,3.1,2.87,2.3,1.61,17.961709346303735,8.980854673151867,Brighton-Wolverhampton Wanderers | 08/12/2019
14/12/2019,Sheffield United,Aston Villa,"['2 ', ' 0']",1.85,3.75,4.2,1.8,2.0,14.989748329247732,7.494874164623866,Sheffield United-Aston Villa | 14/12/2019
16/12/2019,Crystal Palace,Brighton,"['1 ', ' 1']",2.55,3.25,2.87,2.2,1.66,1.4904831270618644,0.7452415635309322,Crystal Palace-Brighton | 16/12/2019
21/12/2019,Brighton,Sheffield United,"['0 ', ' 1']",2.2,3.25,3.5,2.1,1.72,-8.59718719611567,-4.298593598057835,Brighton-Sheffield United | 21/12/2019
21/12/2019,Newcastle United,Crystal Palace,"['1 ', ' 0']",2.37,3.1,3.25,2.5,1.53,-9.600949357195319,-4.800474678597659,Newcastle United-Crystal Palace | 21/12/2019
26/12/2019,Leicester,Liverpool,"['0 ', ' 4']",3.4,3.75,2.05,1.66,2.2,-6.7763464962079505,-3.388173248103975,Leicester-Liverpool | 26/12/2019
28/12/2019,Brighton,Bournemouth,"['2 ', ' 0']",1.75,3.9,4.33,1.9,1.9,-10.71785904286216,-5.3589295214310795,Brighton-Bournemouth | 28/12/2019
28/12/2019,Southampton,Crystal Palace,"['1 ', ' 1']",1.95,3.6,3.8,2.0,1.8,-12.892945434093747,-6.446472717046873,Southampton-Crystal Palace | 28/12/2019
19/01/2020,Liverpool,Manchester United,"['2 ', ' 0']",1.36,5.25,8.0,1.66,2.2,-33.89363960410479,-16.946819802052396,Liverpool-Manchester United | 19/01/2020
21/01/2020,Bournemouth,Brighton,"['3 ', ' 1']",2.87,3.4,2.45,2.0,1.8,-29.630408397889155,-14.815204198944578,Bournemouth-Brighton | 21/01/2020
21/01/2020,Aston Villa,Watford,"['2 ', ' 1']",2.8,3.5,2.45,1.9,1.9,-28.61089751262459,-14.305448756312295,Aston Villa-Watford | 21/01/2020
21/01/2020,Crystal Palace,Southampton,"['0 ', ' 2']",2.7,3.25,2.7,2.2,1.66,-38.861649207289915,-19.430824603644957,Crystal Palace-Southampton | 21/01/2020
21/01/2020,Chelsea,Arsenal,"['2 ', ' 2']",1.72,3.9,4.5,1.72,2.1,-36.97882220125069,-18.489411100625347,Chelsea-Arsenal | 21/01/2020
01/02/2020,Leicester,Chelsea,"['2 ', ' 2']",2.5,3.6,2.7,1.72,2.1,-26.269069724765828,-13.134534862382914,Leicester-Chelsea | 01/02/2020
