Date,HTeam,ATeam,Result,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,ROI,Net Gain,CombinedLabel
23/09/2017,Everton,Bournemouth,"['2 ', ' 1']",1.65,4.0,5.75,1.85,1.96,2.405406830982656,1.202703415491328,Everton-Bournemouth | 23/09/2017
23/09/2017,Southampton,Manchester United,"['0 ', ' 1']",5.5,3.8,1.73,2.03,1.78,-2.0430944136697917,-1.0215472068348959,Southampton-Manchester United | 23/09/2017
30/09/2017,Stoke,Southampton,"['2 ', ' 1']",2.88,3.2,2.45,2.17,1.69,15.022077023609384,7.511038511804692,Stoke-Southampton | 30/09/2017
01/10/2017,Everton,Burnley,"['0 ', ' 1']",1.67,3.6,5.75,2.08,1.75,5.676892330689952,2.838446165344976,Everton-Burnley | 01/10/2017
15/10/2017,Brighton,Everton,"['1 ', ' 1']",3.25,3.3,2.4,2.43,1.55,-10.269038064262304,-5.134519032131152,Brighton-Everton | 15/10/2017
15/10/2017,Southampton,Newcastle United,"['2 ', ' 2']",1.91,3.6,4.5,2.11,1.72,9.040551391032167,4.520275695516084,Southampton-Newcastle United | 15/10/2017
21/10/2017,Stoke,Bournemouth,"['1 ', ' 2']",2.14,3.5,3.6,1.94,1.87,27.07812458383566,13.53906229191783,Stoke-Bournemouth | 21/10/2017
21/10/2017,Southampton,West Bromwich Albion,"['1 ', ' 0']",1.85,3.39,5.25,2.37,1.58,-2.5009548626561298,-1.2504774313280649,Southampton-West Bromwich Albion | 21/10/2017
22/10/2017,Everton,Arsenal,"['2 ', ' 5']",3.79,3.6,2.04,1.81,2.01,9.480371279187878,4.740185639593939,Everton-Arsenal | 22/10/2017
22/10/2017,Tottenham,Liverpool,"['4 ', ' 1']",2.25,3.5,3.39,1.66,2.23,12.934181866789686,6.467090933394843,Tottenham-Liverpool | 22/10/2017
29/10/2017,Leicester,Everton,"['2 ', ' 0']",2.14,3.39,3.75,1.94,1.86,7.140143361965187,3.5700716809825934,Leicester-Everton | 29/10/2017
30/10/2017,Burnley,Newcastle United,"['1 ', ' 0']",2.89,3.2,2.7,2.3,1.6,-17.29673638426584,-8.64836819213292,Burnley-Newcastle United | 30/10/2017
04/11/2017,Newcastle United,Bournemouth,"['0 ', ' 1']",2.0,3.5,4.2,2.01,1.8,-26.86041183383975,-13.430205916919874,Newcastle United-Bournemouth | 04/11/2017
04/11/2017,Southampton,Burnley,"['0 ', ' 1']",1.66,3.75,6.5,2.28,1.63,-62.09887356344311,-31.04943678172155,Southampton-Burnley | 04/11/2017
05/11/2017,Everton,Watford,"['3 ', ' 2']",2.2,3.39,3.6,2.02,1.8,-43.85839001445149,-21.929195007225744,Everton-Watford | 05/11/2017
18/11/2017,Bournemouth,Huddersfield,"['4 ', ' 0']",1.83,3.5,5.25,2.16,1.69,-5.447176252183311,-2.7235881260916557,Bournemouth-Huddersfield | 18/11/2017
