Date,HTeam,ATeam,Result,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,ROI,Net Gain,CombinedLabel
31/08/2019,Chelsea,Sheffield United,"['2 ', ' 2']",1.36,4.75,9.0,1.72,2.1,27.097717349011162,13.548858674505581,Chelsea-Sheffield United | 31/08/2019
14/09/2019,Liverpool,Newcastle United,"['3 ', ' 1']",1.14,8.5,17.0,1.4,3.0,23.478524125797364,11.739262062898682,Liverpool-Newcastle United | 14/09/2019
14/09/2019,Tottenham,Crystal Palace,"['4 ', ' 0']",1.36,5.25,8.0,1.61,2.3,16.566051778262022,8.283025889131011,Tottenham-Crystal Palace | 14/09/2019
14/09/2019,Norwich,Manchester City,"['3 ', ' 2']",15.0,9.0,1.14,1.22,4.33,12.839690345437177,6.419845172718588,Norwich-Manchester City | 14/09/2019
21/09/2019,Manchester City,Watford,"['8 ', ' 0']",1.1,11.0,21.0,1.25,4.0,7.897433370061691,3.9487166850308455,Manchester City-Watford | 21/09/2019
28/09/2019,Sheffield United,Liverpool,"['0 ', ' 1']",9.0,5.25,1.33,1.61,2.3,1.3114131707643253,0.6557065853821626,Sheffield United-Liverpool | 28/09/2019
28/09/2019,Chelsea,Brighton,"['2 ', ' 0']",1.4,4.75,8.0,1.66,2.2,-2.8819399368788368,-1.4409699684394184,Chelsea-Brighton | 28/09/2019
19/10/2019,Tottenham,Watford,"['1 ', ' 1']",1.4,5.0,7.5,1.53,2.5,21.999047402303333,10.999523701151666,Tottenham-Watford | 19/10/2019
19/10/2019,Crystal Palace,Manchester City,"['0 ', ' 2']",12.0,7.0,1.22,1.44,2.75,17.769182202739003,8.884591101369502,Crystal Palace-Manchester City | 19/10/2019
30/11/2019,Newcastle United,Manchester City,"['2 ', ' 2']",13.0,8.0,1.16,1.44,2.75,42.15776176197329,21.078880880986645,Newcastle United-Manchester City | 30/11/2019
30/11/2019,Liverpool,Brighton,"['2 ', ' 1']",1.18,7.0,15.0,1.44,2.75,36.514249612791446,18.257124806395723,Liverpool-Brighton | 30/11/2019
30/11/2019,Tottenham,Bournemouth,"['3 ', ' 2']",1.36,5.5,7.5,1.53,2.5,25.948011593539604,12.974005796769802,Tottenham-Bournemouth | 30/11/2019
03/12/2019,Burnley,Manchester City,"['1 ', ' 4']",11.0,7.0,1.22,1.44,2.75,17.47540550542169,8.737702752710845,Burnley-Manchester City | 03/12/2019
07/12/2019,Bournemouth,Liverpool,"['0 ', ' 3']",7.0,5.25,1.4,1.5,2.62,11.18737252719636,5.59368626359818,Bournemouth-Liverpool | 07/12/2019
07/12/2019,Tottenham,Burnley,"['5 ', ' 0']",1.4,4.75,8.0,1.57,2.37,4.070611958005344,2.035305979002672,Tottenham-Burnley | 07/12/2019
