Date,HTeam,ATeam,Result,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,ROI,Net Gain,CombinedLabel
09/09/2017,Leicester,Chelsea,"['1 ', ' 2']",4.75,3.9,1.8,1.86,1.96,-5.9320329855411975,-2.966016492770599,Leicester-Chelsea | 09/09/2017
16/09/2017,Watford,Manchester City,"['0 ', ' 6']",9.0,6.0,1.33,1.5,2.57,-12.99925981545853,-6.499629907729265,Watford-Manchester City | 16/09/2017
23/09/2017,Stoke,Chelsea,"['0 ', ' 4']",6.0,4.1,1.62,1.78,2.05,-17.940747994784914,-8.970373997392457,Stoke-Chelsea | 23/09/2017
25/09/2017,Arsenal,West Bromwich Albion,"['2 ', ' 0']",1.33,5.5,11.0,1.64,2.25,-22.87100597263428,-11.43550298631714,Arsenal-West Bromwich Albion | 25/09/2017
30/09/2017,Huddersfield,Tottenham,"['0 ', ' 4']",8.5,4.75,1.36,1.74,2.1,-30.486606617000533,-15.243303308500266,Huddersfield-Tottenham | 30/09/2017
14/10/2017,Crystal Palace,Chelsea,"['2 ', ' 1']",9.0,5.0,1.4,1.81,1.99,-39.12282970526874,-19.56141485263437,Crystal Palace-Chelsea | 14/10/2017
14/10/2017,Tottenham,Bournemouth,"['1 ', ' 0']",1.2,8.0,15.0,1.38,2.96,-44.833469154840785,-22.416734577420392,Tottenham-Bournemouth | 14/10/2017
21/10/2017,Chelsea,Watford,"['4 ', ' 2']",1.36,5.25,10.0,1.6,2.32,-50.43537185314891,-25.217685926574454,Chelsea-Watford | 21/10/2017
21/10/2017,Huddersfield,Manchester United,"['2 ', ' 1']",11.0,5.0,1.36,1.95,1.86,-57.54787278066734,-28.77393639033367,Huddersfield-Manchester United | 21/10/2017
28/10/2017,Liverpool,Huddersfield,"['3 ', ' 0']",1.25,6.75,13.0,1.48,2.61,-61.65821585920973,-30.829107929604866,Liverpool-Huddersfield | 28/10/2017
18/11/2017,Manchester United,Newcastle United,"['4 ', ' 1']",1.28,5.75,13.0,1.84,1.98,-68.30764699898879,-34.15382349949439,Manchester United-Newcastle United | 18/11/2017
25/11/2017,Manchester United,Brighton,"['1 ', ' 0']",1.19,7.0,19.0,1.67,2.2,-79.23252834575038,-39.61626417287519,Manchester United-Brighton | 25/11/2017
29/11/2017,Chelsea,Swansea,"['1 ', ' 0']",1.18,8.0,17.0,1.53,2.45,-90.22762597423439,-45.113812987117186,Chelsea-Swansea | 29/11/2017
02/12/2017,Chelsea,Newcastle United,"['3 ', ' 1']",1.25,6.5,15.0,1.61,2.32,-94.08702208059073,-47.04351104029536,Chelsea-Newcastle United | 02/12/2017
02/12/2017,Brighton,Liverpool,"['1 ', ' 5']",7.5,4.5,1.5,1.77,2.05,-98.39519708531256,-49.19759854265628,Brighton-Liverpool | 02/12/2017
09/12/2017,Tottenham,Stoke,"['5 ', ' 1']",1.28,6.5,11.0,1.51,2.54,-105.84085564768884,-52.92042782384442,Tottenham-Stoke | 09/12/2017
13/12/2017,Manchester United,Bournemouth,"['1 ', ' 0']",1.28,6.0,12.0,1.63,2.27,-113.27716448334868,-56.638582241674335,Manchester United-Bournemouth | 13/12/2017
13/12/2017,Tottenham,Brighton,"['2 ', ' 0']",1.25,6.5,15.0,1.62,2.29,-118.0587752986907,-59.02938764934535,Tottenham-Brighton | 13/12/2017
26/12/2017,Manchester United,Burnley,"['2 ', ' 2']",1.25,6.5,15.0,1.75,2.09,-73.90744935216459,-36.953724676082295,Manchester United-Burnley | 26/12/2017
