Date,HTeam,ATeam,Result,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,ROI,Net Gain,CombinedLabel
01/09/2018,Brighton,Fulham,"['2 ', ' 2']",2.3,3.4,3.4,1.92,1.88,-38.37038352798555,-19.185191763992776,Brighton-Fulham | 01/09/2018
02/09/2018,Watford,Tottenham,"['2 ', ' 1']",5.5,4.2,1.64,1.7,2.14,-48.90957459554862,-24.45478729777431,Watford-Tottenham | 02/09/2018
15/09/2018,Newcastle United,Arsenal,"['1 ', ' 2']",4.2,3.8,1.9,1.71,2.14,-38.21442715101057,-19.107213575505284,Newcastle United-Arsenal | 15/09/2018
22/09/2018,Burnley,Bournemouth,"['4 ', ' 0']",3.0,3.4,2.5,2.02,1.8,-63.792862231967135,-31.896431115983567,Burnley-Bournemouth | 22/09/2018
10/11/2018,Newcastle United,Bournemouth,"['2 ', ' 1']",2.9,3.4,2.6,2.0,1.82,-93.84135319524198,-46.92067659762098,Newcastle United-Bournemouth | 10/11/2018
24/11/2018,Brighton,Leicester,"['1 ', ' 1']",2.9,3.4,2.6,2.28,1.63,-113.83506014507334,-56.91753007253667,Brighton-Leicester | 24/11/2018
26/11/2018,Burnley,Newcastle United,"['1 ', ' 2']",2.9,3.2,2.75,2.31,1.61,-74.3200522256034,-37.1600261128017,Burnley-Newcastle United | 26/11/2018
01/12/2018,Southampton,Manchester United,"['2 ', ' 2']",4.33,3.6,1.95,1.89,1.92,-76.96085530138947,-38.480427650694736,Southampton-Manchester United | 01/12/2018
08/12/2018,Chelsea,Manchester City,"['2 ', ' 0']",4.0,3.8,1.95,1.69,2.17,-78.84750961676434,-39.42375480838217,Chelsea-Manchester City | 08/12/2018
03/02/2019,Leicester,Manchester United,"['0 ', ' 1']",3.6,3.5,2.15,1.81,2.02,-60.37165434122773,-30.185827170613866,Leicester-Manchester United | 03/02/2019
17/03/2019,Everton,Chelsea,"['2 ', ' 0']",4.0,3.8,1.95,1.92,1.89,-61.828875333117495,-30.914437666558747,Everton-Chelsea | 17/03/2019
07/04/2019,Everton,Arsenal,"['1 ', ' 0']",3.0,3.75,2.35,1.68,2.19,-90.13049668121998,-45.06524834060998,Everton-Arsenal | 07/04/2019
