Date,HTeam,ATeam,Result,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,ROI,Net Gain,CombinedLabel
09/09/2017,Brighton,West Bromwich Albion,"['3 ', ' 1']",2.7,3.1,3.0,2.6,1.49,-2.636455749904343,-1.3182278749521714,Brighton-West Bromwich Albion | 09/09/2017
09/09/2017,Everton,Tottenham,"['0 ', ' 3']",3.8,3.5,2.1,2.04,1.79,-17.36917378111906,-8.68458689055953,Everton-Tottenham | 09/09/2017
09/09/2017,Leicester,Chelsea,"['1 ', ' 2']",4.75,3.9,1.8,1.86,1.96,-41.772287531592575,-20.886143765796287,Leicester-Chelsea | 09/09/2017
09/09/2017,Stoke,Manchester United,"['2 ', ' 2']",7.5,4.5,1.5,1.88,1.94,-60.4793976179309,-30.23969880896545,Stoke-Manchester United | 09/09/2017
11/09/2017,West Ham,Huddersfield,"['2 ', ' 0']",1.95,3.5,4.5,1.99,1.83,-43.847787730818055,-21.923893865409028,West Ham-Huddersfield | 11/09/2017
16/09/2017,Huddersfield,Leicester,"['1 ', ' 1']",3.5,3.4,2.25,2.05,1.77,-28.480827317585916,-14.24041365879296,Huddersfield-Leicester | 16/09/2017
16/09/2017,Newcastle United,Stoke,"['2 ', ' 1']",2.38,3.25,3.4,2.17,1.69,-30.401039189305962,-15.200519594652981,Newcastle United-Stoke | 16/09/2017
16/09/2017,Watford,Manchester City,"['0 ', ' 6']",9.0,6.0,1.33,1.5,2.57,-53.453434353684514,-26.726717176842257,Watford-Manchester City | 16/09/2017
16/09/2017,West Bromwich Albion,West Ham,"['0 ', ' 0']",2.38,3.25,3.4,2.2,1.68,-51.30252073609861,-25.651260368049304,West Bromwich Albion-West Ham | 16/09/2017
17/09/2017,Chelsea,Arsenal,"['0 ', ' 0']",1.8,4.0,4.5,1.62,2.3,-35.31985806616575,-17.659929033082875,Chelsea-Arsenal | 17/09/2017
23/09/2017,West Ham,Tottenham,"['2 ', ' 3']",6.0,4.33,1.6,1.69,2.18,-62.95819544327989,-31.479097721639945,West Ham-Tottenham | 23/09/2017
23/09/2017,Everton,Bournemouth,"['2 ', ' 1']",1.65,4.0,5.75,1.85,1.96,-70.94487820072189,-35.472439100360944,Everton-Bournemouth | 23/09/2017
23/09/2017,Stoke,Chelsea,"['0 ', ' 4']",6.0,4.1,1.62,1.78,2.05,-89.1763129231244,-44.5881564615622,Stoke-Chelsea | 23/09/2017
23/09/2017,Swansea,Watford,"['1 ', ' 2']",2.4,3.3,3.25,2.09,1.75,-98.75593088038572,-49.37796544019285,Swansea-Watford | 23/09/2017
23/09/2017,Leicester,Liverpool,"['2 ', ' 3']",4.1,3.9,1.91,1.69,2.18,-136.69553227777575,-68.34776613888788,Leicester-Liverpool | 23/09/2017
25/09/2017,Arsenal,West Bromwich Albion,"['2 ', ' 0']",1.33,5.5,11.0,1.64,2.25,-112.40950281656156,-56.204751408280785,Arsenal-West Bromwich Albion | 25/09/2017
30/09/2017,Huddersfield,Tottenham,"['0 ', ' 4']",8.5,4.75,1.36,1.74,2.1,-143.23183416560187,-71.61591708280093,Huddersfield-Tottenham | 30/09/2017
30/09/2017,Bournemouth,Leicester,"['0 ', ' 0']",2.8,3.25,2.5,1.81,2.01,-132.46140707747335,-66.23070353873668,Bournemouth-Leicester | 30/09/2017
30/09/2017,West Ham,Swansea,"['1 ', ' 0']",1.8,3.5,4.5,2.01,1.81,-113.11417614265898,-56.55708807132949,West Ham-Swansea | 30/09/2017
30/09/2017,Chelsea,Manchester City,"['0 ', ' 1']",2.75,3.3,2.5,1.7,2.15,-101.433083899499,-50.7165419497495,Chelsea-Manchester City | 30/09/2017
01/10/2017,Newcastle United,Liverpool,"['1 ', ' 1']",5.0,3.8,1.67,1.68,2.18,-68.67500266734493,-34.33750133367246,Newcastle United-Liverpool | 01/10/2017
14/10/2017,Crystal Palace,Chelsea,"['2 ', ' 1']",9.0,5.0,1.4,1.81,1.99,-77.91327021351825,-38.95663510675912,Crystal Palace-Chelsea | 14/10/2017
16/10/2017,Leicester,West Bromwich Albion,"['1 ', ' 1']",2.05,3.4,4.2,2.1,1.73,-69.41413798314613,-34.70706899157307,Leicester-West Bromwich Albion | 16/10/2017
20/10/2017,West Ham,Brighton,"['0 ', ' 3']",1.83,3.5,5.25,2.24,1.65,-85.03554386920734,-42.51777193460367,West Ham-Brighton | 20/10/2017
21/10/2017,Chelsea,Watford,"['4 ', ' 2']",1.36,5.25,10.0,1.6,2.32,-100.07770024059727,-50.03885012029863,Chelsea-Watford | 21/10/2017
21/10/2017,Swansea,Leicester,"['1 ', ' 2']",2.79,3.25,2.75,2.11,1.72,-101.60719291027341,-50.8035964551367,Swansea-Leicester | 21/10/2017
28/10/2017,Watford,Stoke,"['0 ', ' 1']",2.04,3.6,3.79,1.91,1.91,-100.52841080710554,-50.264205403552765,Watford-Stoke | 28/10/2017
28/10/2017,West Bromwich Albion,Manchester City,"['2 ', ' 3']",11.0,6.5,1.28,1.53,2.48,-141.944341585982,-70.972170792991,West Bromwich Albion-Manchester City | 28/10/2017
28/10/2017,Bournemouth,Chelsea,"['0 ', ' 1']",6.0,4.2,1.61,1.63,2.26,-128.71376769036095,-64.35688384518048,Bournemouth-Chelsea | 28/10/2017
04/11/2017,Swansea,Brighton,"['0 ', ' 1']",2.39,3.2,3.39,2.42,1.56,-125.48204774473855,-62.741023872369276,Swansea-Brighton | 04/11/2017
04/11/2017,West Ham,Liverpool,"['1 ', ' 4']",5.25,4.33,1.66,1.63,2.28,-164.55027180512974,-82.27513590256487,West Ham-Liverpool | 04/11/2017
18/11/2017,Leicester,Manchester City,"['0 ', ' 2']",9.5,5.75,1.33,1.41,2.82,-103.60834288030608,-51.80417144015304,Leicester-Manchester City | 18/11/2017
18/11/2017,West Bromwich Albion,Chelsea,"['0 ', ' 4']",6.5,4.0,1.61,2.05,1.77,-107.79014719653998,-53.895073598269995,West Bromwich Albion-Chelsea | 18/11/2017
24/11/2017,West Ham,Leicester,"['1 ', ' 1']",2.7,3.39,2.75,1.98,1.83,-98.97706795574409,-49.48853397787205,West Ham-Leicester | 24/11/2017
25/11/2017,Manchester United,Brighton,"['1 ', ' 0']",1.19,7.0,19.0,1.67,2.2,-86.53395887462806,-43.26697943731403,Manchester United-Brighton | 25/11/2017
26/11/2017,Huddersfield,Manchester City,"['1 ', ' 2']",17.0,8.0,1.18,1.46,2.65,-123.7041324433817,-61.85206622169085,Huddersfield-Manchester City | 26/11/2017
28/11/2017,Leicester,Tottenham,"['2 ', ' 1']",5.0,3.89,1.75,1.77,2.05,-138.03491480726598,-69.01745740363299,Leicester-Tottenham | 28/11/2017
02/12/2017,Brighton,Liverpool,"['1 ', ' 5']",7.5,4.5,1.5,1.77,2.05,-155.11599687978315,-77.55799843989158,Brighton-Liverpool | 02/12/2017
