Date,HTeam,ATeam,Result,B365H,B365D,B365A,BbAv>2.5,BbAv<2.5,ROI,Net Gain,CombinedLabel
11/09/2021,Chelsea,Aston Villa,"['3 ', ' 0']",1.28,5.5,11.0,1.8,2.0,2.5643638802611406,1.2821819401305703,Chelsea-Aston Villa | 11/09/2021
25/09/2021,Chelsea,Manchester City,"['0 ', ' 1']",2.62,3.2,2.75,2.1,1.72,-23.411375070487267,-11.705687535243634,Chelsea-Manchester City | 25/09/2021
26/09/2021,Arsenal,Tottenham,"['3 ', ' 1']",2.15,3.3,3.5,2.0,1.8,-18.139128843535516,-9.069564421767758,Arsenal-Tottenham | 26/09/2021
03/10/2021,Liverpool,Manchester City,"['2 ', ' 2']",2.87,3.5,2.4,1.72,2.1,-5.535121976191277,-2.7675609880956387,Liverpool-Manchester City | 03/10/2021
23/10/2021,Southampton,Burnley,"['2 ', ' 2']",1.95,3.5,3.9,1.9,1.9,-2.7200079947249947,-1.3600039973624973,Southampton-Burnley | 23/10/2021
23/10/2021,Leeds,Wolverhampton Wanderers,"['1 ', ' 1']",2.4,3.4,2.87,1.9,1.9,-6.213047031914925,-3.1065235159574627,Leeds-Wolverhampton Wanderers | 23/10/2021
30/10/2021,Burnley,Brentford,"['3 ', ' 1']",2.6,3.3,2.75,2.2,1.66,9.280417156975346,4.640208578487673,Burnley-Brentford | 30/10/2021
30/10/2021,Liverpool,Brighton,"['2 ', ' 2']",1.22,6.5,13.0,1.53,2.5,15.575971465748607,7.787985732874304,Liverpool-Brighton | 30/10/2021
06/11/2021,Chelsea,Burnley,"['1 ', ' 1']",1.25,6.0,12.0,1.72,2.1,12.898632917184003,6.449316458592001,Chelsea-Burnley | 06/11/2021
07/11/2021,Everton,Tottenham,"['0 ', ' 0']",3.1,3.25,2.37,2.0,1.8,5.608247360275002,2.8041236801375007,Everton-Tottenham | 07/11/2021
20/11/2021,Aston Villa,Brighton,"['2 ', ' 0']",2.45,3.3,2.9,2.1,1.72,-16.996373714863523,-8.498186857431762,Aston Villa-Brighton | 20/11/2021
20/11/2021,Leicester,Chelsea,"['0 ', ' 3']",4.75,3.75,1.75,2.03,1.87,-1.204060056047922,-0.602030028023961,Leicester-Chelsea | 20/11/2021
27/11/2021,Brighton,Leeds,"['0 ', ' 0']",2.05,3.4,3.75,1.98,1.95,-6.208988536111917,-3.1044942680559586,Brighton-Leeds | 27/11/2021
27/11/2021,Crystal Palace,Aston Villa,"['1 ', ' 2']",2.2,3.4,3.3,2.07,1.86,4.97774227007892,2.48887113503946,Crystal Palace-Aston Villa | 27/11/2021
28/11/2021,Brentford,Everton,"['1 ', ' 0']",2.25,3.2,3.4,2.1,1.72,-4.26831321852805,-2.134156609264025,Brentford-Everton | 28/11/2021
28/11/2021,Chelsea,Manchester United,"['1 ', ' 1']",1.57,4.0,6.0,1.8,2.0,-11.655757934396066,-5.827878967198032,Chelsea-Manchester United | 28/11/2021
01/12/2021,West Ham,Brighton,"['1 ', ' 1']",1.95,3.6,3.8,2.06,1.84,-20.518122368502844,-10.259061184251422,West Ham-Brighton | 01/12/2021
04/12/2021,Southampton,Brighton,"['1 ', ' 1']",2.45,3.2,3.0,2.2,1.66,-39.37958895751077,-19.689794478755385,Southampton-Brighton | 04/12/2021
06/12/2021,Everton,Arsenal,"['2 ', ' 1']",3.4,3.5,2.1,2.06,1.84,-32.634670560373394,-16.317335280186697,Everton-Arsenal | 06/12/2021
10/12/2021,Brentford,Watford,"['2 ', ' 1']",2.25,3.3,3.3,2.01,1.89,-13.922728682243045,-6.961364341121524,Brentford-Watford | 10/12/2021
11/12/2021,Arsenal,Southampton,"['3 ', ' 0']",1.61,4.0,5.5,1.8,2.0,-11.628335461637974,-5.814167730818987,Arsenal-Southampton | 11/12/2021
15/12/2021,Crystal Palace,Southampton,"['2 ', ' 2']",2.15,3.3,3.5,2.1,1.72,-2.5896504198828154,-1.2948252099414077,Crystal Palace-Southampton | 15/12/2021
15/12/2021,Brighton,Wolverhampton Wanderers,"['0 ', ' 1']",2.25,3.1,3.5,2.5,1.53,-27.849362147213668,-13.924681073606834,Brighton-Wolverhampton Wanderers | 15/12/2021
26/12/2021,Aston Villa,Chelsea,"['1 ', ' 3']",5.25,3.8,1.65,2.05,1.85,-21.67481657809394,-10.83740828904697,Aston Villa-Chelsea | 26/12/2021
26/12/2021,Brighton,Brentford,"['2 ', ' 0']",1.9,3.4,4.2,2.2,1.66,-30.9584172595753,-15.47920862978765,Brighton-Brentford | 26/12/2021
28/12/2021,Southampton,Tottenham,"['1 ', ' 1']",3.75,3.5,2.0,1.95,1.95,-32.65772419771335,-16.328862098856675,Southampton-Tottenham | 28/12/2021
29/12/2021,Chelsea,Brighton,"['1 ', ' 1']",1.4,4.5,7.5,1.93,1.97,-55.55341910414589,-27.776709552072944,Chelsea-Brighton | 29/12/2021
02/01/2022,Everton,Brighton,"['2 ', ' 3']",2.75,3.2,2.62,2.2,1.66,-42.88210056507782,-21.441050282538907,Everton-Brighton | 02/01/2022
02/01/2022,Chelsea,Liverpool,"['2 ', ' 2']",3.1,3.5,2.25,1.83,2.07,-21.064777707290233,-10.532388853645116,Chelsea-Liverpool | 02/01/2022
14/01/2022,Brighton,Crystal Palace,"['1 ', ' 1']",2.05,3.3,3.8,2.2,1.66,-36.828992918370886,-18.414496459185443,Brighton-Crystal Palace | 14/01/2022
15/01/2022,Manchester City,Chelsea,"['1 ', ' 0']",1.65,4.0,5.0,1.85,2.05,-68.37113783206628,-34.18556891603314,Manchester City-Chelsea | 15/01/2022
15/01/2022,Norwich,Everton,"['2 ', ' 1']",3.75,3.5,2.0,2.1,1.72,-63.24054404423697,-31.620272022118485,Norwich-Everton | 15/01/2022
